Sector;KPI;mes;tasa
Planta A;Ausentismo (%);ene;0.061
Planta A;Ausentismo (%);feb;0.045
Planta A;Ausentismo (%);mar;0.042
Planta A;Ausentismo (%);abr;0.068
Planta A;Ausentismo (%);may;0.083
Planta A;Ausentismo (%);jun;0.084
Planta A;Ausentismo (%);jul;0.07
Planta A;Ausentismo (%);ago;0.059
Planta A;Ausentismo (%);sep;0.07
Planta A;Ausentismo (%);oct;0.019
Planta A;Ausentismo (%);nov;0.063
Planta A;Ausentismo (%);dic;0.08
Planta A;Horas Extras (%);ene;0.08
Planta A;Horas Extras (%);feb;0.066
Planta A;Horas Extras (%);mar;0.03
Planta A;Horas Extras (%);abr;0.051
Planta A;Horas Extras (%);may;0.051
Planta A;Horas Extras (%);jun;0.04
Planta A;Horas Extras (%);jul;0.06
Planta A;Horas Extras (%);ago;0.055
Planta A;Horas Extras (%);sep;0.041
Planta A;Horas Extras (%);oct;0.119
Planta A;Horas Extras (%);nov;0.133
Planta A;Horas Extras (%);dic;0.097
Planta B;Ausentismo (%);ene;0.04
Planta B;Ausentismo (%);feb;0.061
Planta B;Ausentismo (%);mar;0.045
Planta B;Ausentismo (%);abr;0.072
Planta B;Ausentismo (%);may;0.067
Planta B;Ausentismo (%);jun;0.035
Planta B;Ausentismo (%);jul;0.052
Planta B;Ausentismo (%);ago;0.051
Planta B;Ausentismo (%);sep;0.05
Planta B;Ausentismo (%);oct;0.065
Planta B;Ausentismo (%);nov;0.136
Planta B;Ausentismo (%);dic;0.094
Planta B;Horas Extras (%);ene;0.047
Planta B;Horas Extras (%);feb;0.02
Planta B;Horas Extras (%);mar;0.018
Planta B;Horas Extras (%);abr;0.023
Planta B;Horas Extras (%);may;0.022
Planta B;Horas Extras (%);jun;0.027
Planta B;Horas Extras (%);jul;0.019
Planta B;Horas Extras (%);ago;0.034
Planta B;Horas Extras (%);sep;0.034
Planta B;Horas Extras (%);oct;0.084
Planta B;Horas Extras (%);nov;0.091
Planta B;Horas Extras (%);dic;0.064
